param L := 100;

set MODULI := M1 M2 M3 M4 M5 M6 M7 M8 M9 M10 M11 M12 M13 M14 M15 M16 M17 M18 M19 M20 M21 M22 M23 M24 M25 M26 M27 M28 M29 M30 M31 M32 M33 M34 M35 M36 M37 M38 M39 M40 M41 M42 M43 M44 M45 M46 M47 M48 ;

param d :=
  M1 81
  M2 89
  M3 78
  M4 92
  M5 61
  M6 83
  M7 70
  M8 88
  M9 89
  M10 52
  M11 74
  M12 86
  M13 79
  M14 66
  M15 60
  M16 57
  M17 54
  M18 93
  M19 86
  M20 70
  M21 65
  M22 94
  M23 54
  M24 69
  M25 61
  M26 59
  M27 95
  M28 96
  M29 60
  M30 65
  M31 63
  M32 57
  M33 53
  M34 63
  M35 87
  M36 85
  M37 75
  M38 76
  M39 64
  M40 98
  M41 70
  M42 100
  M43 97
  M44 53
  M45 85
  M46 94
  M47 76
  M48 94
;

param l :=
  M1 45
  M2 40
  M3 44
  M4 45
  M5 40
  M6 36
  M7 36
  M8 30
  M9 32
  M10 41
  M11 18
  M12 37
  M13 13
  M14 12
  M15 22
  M16 27
  M17 43
  M18 39
  M19 43
  M20 47
  M21 30
  M22 25
  M23 46
  M24 37
  M25 43
  M26 47
  M27 28
  M28 22
  M29 41
  M30 11
  M31 22
  M32 50
  M33 25
  M34 15
  M35 48
  M36 32
  M37 28
  M38 41
  M39 23
  M40 49
  M41 34
  M42 43
  M43 44
  M44 19
  M45 25
  M46 43
  M47 22
  M48 24
;
