param L := 833;

set MODULI := M1 M2 M3 M4 M5 M6 M7 M8 M9 M10 M11 M12 M13 M14 M15 M16 M17 M18 M19 M20 M21 M22 M23 M24 M25 M26 M27 M28 M29 M30 M31 M32 M33 M34 M35 M36 M37 M38 M39 M40 M41 M42 M43 M44 M45 M46 M47 M48 M49 M50 M51 ;

param d :=
  M1 9
  M2 4
  M3 9
  M4 3
  M5 6
  M6 1
  M7 5
  M8 9
  M9 9
  M10 8
  M11 3
  M12 10
  M13 4
  M14 1
  M15 5
  M16 8
  M17 8
  M18 4
  M19 6
  M20 6
  M21 8
  M22 9
  M23 2
  M24 4
  M25 7
  M26 1
  M27 6
  M28 3
  M29 5
  M30 3
  M31 3
  M32 5
  M33 8
  M34 5
  M35 3
  M36 4
  M37 5
  M38 2
  M39 5
  M40 3
  M41 1
  M42 2
  M43 6
  M44 2
  M45 8
  M46 2
  M47 8
  M48 3
  M49 8
  M50 7
  M51 3
;

param l :=
  M1 48
  M2 21
  M3 45
  M4 45
  M5 37
  M6 43
  M7 35
  M8 43
  M9 36
  M10 31
  M11 40
  M12 31
  M13 48
  M14 35
  M15 46
  M16 18
  M17 45
  M18 46
  M19 49
  M20 45
  M21 20
  M22 29
  M23 21
  M24 47
  M25 41
  M26 17
  M27 16
  M28 45
  M29 40
  M30 12
  M31 15
  M32 39
  M33 12
  M34 44
  M35 31
  M36 15
  M37 15
  M38 18
  M39 41
  M40 16
  M41 17
  M42 13
  M43 23
  M44 10
  M45 31
  M46 34
  M47 27
  M48 48
  M49 34
  M50 30
  M51 21
;
