param L := 950;

set MODULI := M1 M2 M3 M4 M5 M6 M7 M8 M9 M10 M11 M12 M13 M14 M15 M16 M17 M18 M19 M20 M21 M22 M23 M24 M25 M26 M27 M28 M29 M30 M31 M32 M33 M34 M35 M36 M37 M38 M39 M40 M41 M42 M43 M44 M45 M46 M47 M48 ;

param d :=
  M1 86
  M2 55
  M3 86
  M4 68
  M5 64
  M6 69
  M7 94
  M8 74
  M9 72
  M10 71
  M11 92
  M12 91
  M13 98
  M14 54
  M15 80
  M16 81
  M17 96
  M18 73
  M19 75
  M20 98
  M21 97
  M22 58
  M23 83
  M24 88
  M25 71
  M26 100
  M27 89
  M28 62
  M29 59
  M30 89
  M31 62
  M32 94
  M33 74
  M34 67
  M35 89
  M36 88
  M37 96
  M38 84
  M39 65
  M40 72
  M41 62
  M42 51
  M43 61
  M44 93
  M45 74
  M46 99
  M47 82
  M48 90
;

param l :=
  M1 17
  M2 30
  M3 30
  M4 29
  M5 23
  M6 33
  M7 31
  M8 37
  M9 41
  M10 42
  M11 45
  M12 30
  M13 37
  M14 13
  M15 42
  M16 43
  M17 44
  M18 27
  M19 34
  M20 19
  M21 33
  M22 11
  M23 18
  M24 34
  M25 25
  M26 45
  M27 47
  M28 40
  M29 44
  M30 50
  M31 38
  M32 14
  M33 28
  M34 43
  M35 47
  M36 42
  M37 20
  M38 49
  M39 20
  M40 21
  M41 36
  M42 41
  M43 22
  M44 32
  M45 39
  M46 47
  M47 37
  M48 17
;
