param L := 150;

set MODULI := M1 M2 M3 M4 M5 M6 M7 M8 M9 M10 M11 M12 M13 M14 M15 M16 M17 M18 M19 M20 M21 M22 M23 M24 M25 M26 M27 M28 M29 M30 M31 M32 M33 M34 M35 M36 M37 M38 M39 M40 M41 M42 M43 M44 M45 M46 ;

param d :=
  M1 1
  M2 7
  M3 3
  M4 7
  M5 2
  M6 7
  M7 8
  M8 3
  M9 9
  M10 3
  M11 2
  M12 10
  M13 9
  M14 7
  M15 4
  M16 2
  M17 8
  M18 3
  M19 4
  M20 1
  M21 2
  M22 8
  M23 6
  M24 10
  M25 1
  M26 8
  M27 10
  M28 2
  M29 2
  M30 6
  M31 10
  M32 2
  M33 7
  M34 10
  M35 2
  M36 8
  M37 3
  M38 5
  M39 4
  M40 3
  M41 1
  M42 6
  M43 4
  M44 10
  M45 6
  M46 4
;

param l :=
  M1 14
  M2 49
  M3 35
  M4 34
  M5 44
  M6 12
  M7 32
  M8 41
  M9 17
  M10 14
  M11 33
  M12 18
  M13 15
  M14 23
  M15 26
  M16 13
  M17 40
  M18 45
  M19 23
  M20 25
  M21 45
  M22 17
  M23 31
  M24 28
  M25 16
  M26 39
  M27 39
  M28 20
  M29 30
  M30 50
  M31 33
  M32 16
  M33 21
  M34 34
  M35 21
  M36 24
  M37 24
  M38 39
  M39 21
  M40 28
  M41 33
  M42 49
  M43 49
  M44 19
  M45 44
  M46 47
;
